epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,5187.07,0.75915,0.58867,1.12789,0.8565,0.77471,0.84048,0.58556,1.26111,0.83984,1.46988,0.002476,0.002476,0.002476
78,5254.27,0.75176,0.58329,1.12564,0.85807,0.77385,0.84133,0.58537,1.26039,0.83949,1.46892,0.002377,0.002377,0.002377
79,5320.92,0.74777,0.58166,1.12329,0.84924,0.7804,0.84369,0.58626,1.26017,0.84052,1.46841,0.002278,0.002278,0.002278
80,5387.69,0.74512,0.57776,1.11819,0.84708,0.78145,0.84283,0.58698,1.25931,0.83855,1.46763,0.002179,0.002179,0.002179
81,5454.99,0.74144,0.57526,1.11787,0.84529,0.77762,0.84246,0.58546,1.2575,0.83795,1.46769,0.00208,0.00208,0.00208
82,5522.23,0.73889,0.57428,1.11478,0.85579,0.77154,0.84228,0.58624,1.25734,0.8382,1.46812,0.001981,0.001981,0.001981
83,5588.86,0.73729,0.56213,1.1132,0.85377,0.77597,0.84312,0.58612,1.25639,0.83651,1.46785,0.001882,0.001882,0.001882
84,5655.53,0.74051,0.56969,1.11668,0.8544,0.77376,0.84179,0.58745,1.25543,0.83596,1.46714,0.001783,0.001783,0.001783
85,5721.89,0.73514,0.5642,1.10901,0.85314,0.77325,0.8414,0.58602,1.25498,0.83595,1.46728,0.001684,0.001684,0.001684
86,5789.38,0.72739,0.56069,1.11074,0.85345,0.77124,0.8411,0.58599,1.25572,0.83656,1.46791,0.001585,0.001585,0.001585
87,5856.24,0.72624,0.55702,1.10685,0.85279,0.77054,0.8406,0.58525,1.2563,0.83699,1.46948,0.001486,0.001486,0.001486
88,5922.94,0.72193,0.55185,1.10371,0.85273,0.76939,0.84087,0.58557,1.25611,0.83815,1.46893,0.001387,0.001387,0.001387
89,5989.77,0.71622,0.54905,1.10418,0.85687,0.76926,0.84053,0.58607,1.25716,0.83797,1.47007,0.001288,0.001288,0.001288
90,6056.18,0.71812,0.54824,1.10109,0.85308,0.77032,0.8405,0.58631,1.25703,0.83907,1.47032,0.001189,0.001189,0.001189
91,6149.75,0.72746,0.45975,1.08867,0.85613,0.76834,0.84094,0.58676,1.25725,0.83795,1.47065,0.00109,0.00109,0.00109
92,6217.45,0.71052,0.44034,1.07527,0.85447,0.76975,0.84027,0.58718,1.25794,0.83777,1.47205,0.000991,0.000991,0.000991
93,6282.93,0.70698,0.44078,1.07838,0.85119,0.77639,0.83993,0.58836,1.25809,0.83712,1.4731,0.000892,0.000892,0.000892
94,6349.11,0.69727,0.43098,1.06936,0.85077,0.77582,0.84104,0.5889,1.25733,0.83695,1.47373,0.000793,0.000793,0.000793
95,6414.43,0.69319,0.42566,1.06615,0.84893,0.77515,0.84113,0.58984,1.25635,0.83748,1.47363,0.000694,0.000694,0.000694
96,6480.01,0.68944,0.4224,1.06283,0.84881,0.77615,0.84135,0.59039,1.25564,0.83724,1.47351,0.000595,0.000595,0.000595
97,6552.89,0.68211,0.41813,1.05554,0.85007,0.77473,0.8412,0.59098,1.2552,0.8365,1.4737,0.000496,0.000496,0.000496
98,6684.63,0.67855,0.4163,1.05606,0.84674,0.77626,0.84134,0.59106,1.25517,0.83608,1.47428,0.000397,0.000397,0.000397
99,6749.02,0.67766,0.41471,1.05712,0.84832,0.77308,0.84195,0.59139,1.25486,0.83566,1.47481,0.000298,0.000298,0.000298
100,6815.17,0.66883,0.40859,1.04855,0.84832,0.77482,0.84247,0.59218,1.25432,0.83491,1.4747,0.000199,0.000199,0.000199
